"pn",Hospital name,Street address,City,State,"Zip code","Hospital system or, if independent, IPPS/CAH","Is_hospital_a_critical_access_hospital","Hospital Compare 5-star rating (October 2018, NA=Not Available)","Number of outpatient services","Total private allowed amount for outpatient services ($ millions)","Simulated Medicare allowed amount for outpatient services ($ millions)","Relative price for outpatient services","Standardized price per outpatient service","Number of inpatient stays","Total private allowed amount for inpatient services ($ millions)","Simulated Medicare allowed amount for inpatient services ($ millions)","Relative price for inpatient services","Standardized price per inpatient stay","Total private allowed amount for inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for inpatient and outpatient services ($ millions)","Relative price for professional inpatient and outpatient services","Relative price for inpatient facility services","Relative_price_for_outpatient_facility_services","Relative price for inpatient and outpatient services","Total private allowed amount for facility inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for facility inpatient and outpatient services ($ millions)","Total private allowed amount for professional inpatient and outpatient services ($ millions)","Simulated Medicare allowed amount for professional inpatient and outpatient services ($ millions)"
330045,Huntington Hospital,270 Park Avenue,Huntington,NY,11743,Northwell Health,N,3,41,.11,.03,340% ,$414.83,11,.25,.09,267% ,"$24,030",.36,.13,283% ,258%,376%,286% ,.29,.10,.07,.02
330046,"Mount Sinai St. Lukes
Roosevelt Hos",1000 Tenth Avenue,New York,NY,10019,"Mount Sinai Health
System",N,3,358,1.09,.57,190% ,$206.98,95,3.62,1.65,220% ,"$30,517",4.71,2.22,199% ,221%,194%,212% ,4.14,1.93,.57,.29
330047,St. Marys Healthcare,427 Guy Park Avenue,Amsterdam,NY,12010,Ascension Health,N,2,37,.05,.03,218% ,$210.75,,,,,,,,,,247%,,,,,
330049,Northern Dutchess Hospital,"6511 Springbrook
Avenue",Rhinebeck,NY,12572,Health Quest,N,4,69,.15,.07,218% ,$229.61,,,,,,,,,,228%,,,,,
330055,Newyork-Presbyterian/Queens,56-45 Main Street,Flushing,NY,11355,"New York
Presbyterian
Healthcare",N,2,62,.27,.13,212% ,$244.42,,,,,,,,,,230%,,,,,
330056,The Brooklyn Hospital Center,121 Dekalb Avenue,Brooklyn,NY,11201,Independent (IPPS),N,1,54,.08,.03,277% ,$355.93,,,,,,,,,,360%,,,,,
330057,St. Peters Hospital,"315 South Manning
Boulevard",Albany,NY,12208,Trinity Health,N,2,77,.18,.07,251% ,$227.62,,,,,,,,,,279%,,,,,
330058,Geneva General Hospital,196 -198 North Street,Geneva,NY,14456,Finger Lakes Health,N,1,112,.12,.08,153% ,$137.41,,,,,,,,,,156%,,,,,
330059,Montefiore Medical Center,111 East 210th Street,Bronx,NY,10467,"Montefiore Medical
Center",N,1,388,1.36,.47,288% ,$325.61,67,5.36,1.79,300% ,"$41,692",6.72,2.26,266% ,301%,296%,297% ,6.17,2.05,.55,.21
330061,"New York Presbyterian
Lawrence Hospital",55 Palmer Avenue,Bronxville,NY,10708,"New York
Presbyterian
Healthcare",N,NA,128,.34,.14,242% ,$275.77,15,.43,.15,294% ,"$25,553",.77,.29,152% ,311%,271%,269% ,.69,.24,.07,.05
330065,"Niagara Falls Memorial Medical
Center",621 Tenth Street,Niagara Falls,NY,14302,"Niagara Falls
Memorial Medical Ce",N,1,14,.01,.01,160% ,$179.69,,,,,,,,,,196%,,,,,
330074,Ff Thompson Hospital,350 Parrish Street,Canandaigua,NY,14424,"University of
Rochester Medical C",N,2,162,.25,.13,191% ,$177.82,,,,,,,,,,214%,,,,,
330078,Sisters Of Charity Hospital,2157 Main Street,Buffalo,NY,14214,Trinity Health,N,2,38,.05,.03,163% ,$164.49,12,.29,.13,227% ,"$23,086",.35,.16,106% ,281%,166%,214% ,.30,.12,.05,.05
330079,Adirondack Medical Center,2233 State Route 86,Saranac Lake,NY,12983,"HealthTech
Management Services",N,4,180,.24,.09,272% ,$279.06,,,,,,,,,,307% ,,,,,
330085,"Aurelia Osborn Fox Memorial
Hospital",One Norton Avenue,Oneonta,NY,13820,"Bassett Healthcare
Network",N,3,87,.10,.04,247% ,$251.00,,,,,,,,,,289%,,,,,
330086,The Mount Vernon Hospital,12 North 7th Avenue,Mount Vernon,NY,10550,"Montefiore Medical
Center",N,1,12,.02,.01,233% ,$253.13,,,,,,,,,,246% ,,,,,
330088,Eastern Long Island Hospital,201 Manor Place,Greenport,NY,11944,Stony Brook Medicine,N,3,36,.08,.02,328% ,$394.30,,,,,,,,,,346%,,,,,
330090,Arnot-Ogden Medical Center,600 Roe Avenue,Elmira,NY,14905,Arnot Health,N,2,48,.09,.03,285% ,$253.76,,,,,,,,,,328%,,,,,
330094,Columbia Memorial Hospital,71 Prospect Avenue,Hudson,NY,12534,"Columbia Memorial
Health",N,2,61,.09,.05,200% ,$193.78,,,,,,,,,,223%,,,,,
330100,"New York Eye And Ear
Infirmary",230 Second Ave,New York,NY,10003,"Mount Sinai Health
System",N,NA,233,1.08,.96,112% ,$117.12,,,,,,,,,,112%,,,,,
330101,"New York Presbyterian
Hospital",525 East 68th Street,New York,NY,10065,"New York
Presbyterian
Healthcare",N,3,5205,27.60,8.94,309% ,$341.11,1119,101.77,26.04,391% ,"$53,974",129.37,34.98,283% ,405%,318%,370% ,115.87,30.21,13.50,4.78
330102,Kenmore Mercy Hospital,2950 Elmwood Avenue,Kenmore,NY,14217,Trinity Health,N,4,27,.04,.02,161% ,$188.34,,,,,,,,,,185%,,,,,
330103,Olean General Hospital,515 Main Street,Olean,NY,14760,Kaleida Health,N,3,64,.08,.06,149% ,$125.78,,,,,,,,,,148% ,,,,,
330104,Nyack Hospital,"160 North Midland
Avenue",Nyack,NY,10960,"Montefiore Medical
Center",N,2,396,.87,.36,240% ,$286.62,28,.59,.23,256% ,"$24,721",1.46,.59,132% ,280%,281%,246% ,1.28,.46,.18,.13
330106,North Shore University Hospital,300 Community Drive,Manhasset,NY,11030,Northwell Health,N,2,308,.81,.26,307% ,$360.99,34,1.08,.47,227% ,"$32,255",1.89,.74,204% ,224%,355%,256% ,1.65,.62,.24,.12
330107,Peconic Bay Medical Center,1300 Roanoke Avenue,Riverhead,NY,11901,Northwell Health,N,1,40,.10,.03,332% ,$432.47,,,,,,,,,,376%,,,,,
330111,Bertrand Chaffee Hospital,224 East Main Street,Springville,NY,14141,Trinity Health,N,2,19,.01,.01,138% ,$128.79,,,,,,,,,,142%,,,,,
330115,Oneida Healthcare,321 Genesee Street,Oneida,NY,13421,Oneida Healthcare,N,3,443,.64,.28,232% ,$212.35,17,.15,.12,132% ,"$10,359",.79,.39,141% ,135%,253% ,202% ,.68,.31,.11,.08
330119,Lenox Hill Hospital,100 East 77th Street,New York,NY,10021,Northwell Health,N,3,901,4.14,1.89,219% ,$232.01,182,8.08,2.65,305% ,"$34,296",12.22,4.55,263% ,302%,221%,269% ,10.56,3.91,1.66,.63
330125,Rochester General Hospital,1425 Portland Avenue,Rochester,NY,14621,"Rochester Regional
Health System",N,2,189,.47,.24,192% ,$170.19,21,.53,.30,177% ,"$16,318",.99,.54,95% ,213%,214%,184% ,.87,.41,.13,.13
330126,"Orange Regional Medical
Center",707 East Main Street,Middletown,NY,10940,"Greater Hudson
Valley Health Syst",N,3,410,.94,.46,205% ,$230.87,52,1.43,.45,316% ,"$31,863",2.37,.91,147% ,350%,221%,260% ,2.11,.74,.25,.17
330132,Tlc Health Network,845 Routes 5 And 20,Irving,NY,14081,Independent (IPPS),N,NA,15,.01,.01,110% ,$94.08,,,,,,,,,,108%,,,,,
330135,"Bon Secours Community
Hospital",160 East Main Street,Port Jervis,NY,12771,"Westchester Medical
Center",N,4,187,.52,.14,380% ,$434.60,,,,,,,,,,444%,,,,,
330136,Mary Imogene Bassett Hospital,One Atwell Road,Cooperstown,NY,13326,"Bassett Healthcare
Network",N,1,208,.54,.15,353% ,$426.24,,,,,,,,,,403%,,,,,
330140,"St. Josephs Hospital Health
Center",301 Prospect Avenue,Syracuse,NY,13203,Trinity Health,N,2,96,.27,.15,179% ,$172.87,21,.55,.22,246% ,"$19,414",.81,.37,116% ,271% ,199%,219% ,.73,.30,.08,.07
330141,"Brookhaven Memorial Hospital
Medical",101 Hospital Road,Patchogue,NY,11772,"Catholic Health
Services of Long",N,1,43,.10,.04,241% ,$287.66,,,,,,,,,,258%,,,,,
330151,St James Mercy Hospital,411 Canisteo Street,Hornell,NY,14843,"University of
Rochester Medical C",N,3,19,.02,.01,212% ,$204.35,,,,,,,,,,230%,,,,,
330153,Ellis Hospital,1101 Nott Street,Schenectady,NY,12308,Ellis Medicine,N,2,150,.34,.12,286% ,$263.48,,,,,,,,,,334%,,,,,
330154,"Memorial Hospital For Cancer
And All",1275 York Avenue,New York,NY,10021,Independent (IPPS),N,NA,,,,,,954,44.60,9.91,450% ,"$32,584",,,,470%,,,,,,
330157,Samartian Medical Center,830 Washington Street,Watertown,NY,13601,"Samaritan Health
System",N,3,41,.09,.02,391% ,$369.83,,,,,,,,,,461%,,,,,
330158,Good Samaritan Hospital,255 Lafayette Avenue,Suffern,NY,10901,"Westchester Medical
Center",N,1,390,1.21,.42,287% ,$325.41,55,2.14,.67,319% ,"$31,618",3.35,1.09,130% ,363%,340%,307% ,3.05,.86,.30,.23
330160,"Staten Island University
Hospital",475 Seaview Avenue,Staten Island,NY,10305,Northwell Health,N,1,292,.71,.23,314% ,$378.00,39,1.68,.51,327% ,"$40,199",2.40,.74,174% ,358%,358%,323% ,2.15,.60,.25,.14
330162,Northern Westchester Hospital,400 East Main Street,Mount Kisco,NY,10549,Northwell Health,N,3,328,.98,.40,242% ,$263.91,83,1.93,.73,265% ,"$23,211",2.90,1.13,190% ,280%,250% ,257% ,2.55,.95,.35,.19
330164,Highland Hospital,1000 South Avenue,Rochester,NY,14620,"University of
Rochester Medical C",N,3,70,.11,.06,175% ,$155.97,,,,,,,,,,165%,,,,,
330166,Westfield Memorial Hospital,189 East Main Street,Westfield,NY,14787,"Allegheny Health
Network",N,NA,136,.08,.06,150% ,$132.01,,,,,,,,,,154%,,,,,
330167,Nyu Winthrop Hospital,259 First Street,Mineola,NY,11501,NYU Langone Health,N,3,140,.54,.15,364% ,$423.96,35,1.20,.42,284% ,"$31,251",1.74,.57,198% ,290%,427%,305% ,1.57,.49,.16,.08
330169,Mount Sinai Beth Israel,"First Avenue At 16th
Street",New York,NY,10003,"Mount Sinai Health
System",N,2,401,.82,.48,171% ,$193.86,48,2.10,.92,227% ,"$28,574",2.91,1.40,138% ,238%,182%,208% ,2.63,1.19,.29,.21
330175,"Cortland Regional Medical
Center",134 Homer Avenue,Cortland,NY,13045,Independent (IPPS),N,3,25,.03,.01,262% ,$299.73,,,,,,,,,,327%,,,,,
330180,Samaritan Hospital,2215 Burdett Avenue,Troy,NY,12180,Trinity Health,N,1,94,.13,.05,247% ,$222.86,,,,,,,,,,265%,,,,,
330181,Glen Cove Hospital,101 St Andrews Lane,Glen Cove,NY,11542,Northwell Health,N,2,34,.07,.02,341% ,$423.51,,,,,,,,,,379%,,,,,
330182,St. Francis Hospital,"100 Port Washington
Boulevard",Roslyn,NY,11576,"Catholic Health
Services of Long",N,4,61,.29,.13,222% ,$233.05,,,,,,,,,,229%,,,,,
330184,"Montefiore New Rochelle
Hospital",16 Guion Place,New Rochelle,NY,10802,"Montefiore Medical
Center",N,2,73,.18,.07,277% ,$277.84,,,,,,,,,,306%,,,,,
330185,"John T Mather Memorial
Hospital",75 North Country Road,Port Jefferson,NY,11777,Northwell Health,N,3,45,.09,.03,334% ,$418.23,,,,,,,,,,395%,,,,,
330188,Mount St. Marys Hospital,5300 Military Road,Lewiston,NY,14092,Trinity Health,N,3,18,.01,.01,138% ,$148.82,,,,,,,,,,135%,,,,,
330191,Glens Falls Hospital,100 Park Street,Glens Falls,NY,12801,Glens Falls Hospital,N,3,246,.39,.13,302% ,$297.25,16,.25,.11,239% ,"$16,473",.64,.24,146% ,254%,357%,274% ,.57,.19,.07,.05
330194,Maimonides Medical Center,4802 Tenth Avenue,Brooklyn,NY,11219,Northwell Health,N,1,99,.16,.08,198% ,$229.66,14,.32,.18,173% ,"$25,873",.47,.26,167% ,170%,215%,180% ,.41,.22,.07,.04
330195,"Long Island Jewish Medical
Center",270 - 05 76th Avenue,New Hyde Park,NY,11040,Northwell Health,N,2,143,.43,.15,290% ,$340.95,53,1.51,.58,260% ,"$34,313",1.94,.73,174% ,276%,316%,266% ,1.74,.61,.20,.12
330196,"Nyc Health + Hospital / Coney
Island",2601 Ocean Parkway,Brooklyn,NY,11235,"New York City Health
and Hospital",N,1,12,.01,.01,200% ,$202.25,,,,,,,,,,184%,,,,,
330197,Canton-Potsdam Hospital,50 Leroy Street,Potsdam,NY,13676,"Saint Lawrence
Health System",N,3,115,.24,.07,365% ,$344.51,,,,,,,,,,417%,,,,,
330198,"South Nassau Communities
Hospital",One Healthy Way,Oceanside,NY,11572,Independent (IPPS),N,2,58,.16,.09,192% ,$225.28,19,.79,.31,254% ,"$25,931",.95,.40,107% ,289%,229%,241% ,.86,.31,.09,.09
330203,Crouse Hospital,736 Irving Avenue,Syracuse,NY,13210,Northwell Health,N,2,317,.46,.23,202% ,$188.67,14,.59,.18,323% ,"$38,611",1.05,.41,155% ,403%,218%,256% ,.88,.30,.17,.11
330205,"St. Anthonys Community
Hospital",15 Maple Avenue -19,Warwick,NY,10990,"Westchester Medical
Center",N,2,511,1.30,.40,325% ,$366.59,28,.84,.25,340% ,"$29,528",2.14,.65,156% ,377%,370%,331% ,1.95,.52,.20,.13
330208,St. Johns Riverside Hospital,976 North Broadway,Yonkers,NY,10701,"Riverside Health Care
System",N,2,95,.15,.06,237% ,$279.62,12,.13,.15,87% ,"$8,759",.28,.22,162% ,81%,252%,132% ,.23,.18,.05,.03
330211,"Claxton Hepburn Medical
Center",214 King Street,Ogdensburg,NY,13669,Independent (IPPS),N,3,17,.03,.01,324% ,$307.22,,,,,,,,,,376%,,,,,
330214,Nyu Langone Hospitals,550 First Avenue,New York,NY,10016,NYU Langone Health,N,4,2263,17.44,4.67,373% ,$405.97,380,25.90,9.04,286% ,"$44,213",43.34,13.71,254% ,291%,398%,316% ,38.64,11.87,4.70,1.85
330215,Rome Memorial Hospital  Inc.,"1500 North James
Street",Rome,NY,13440,Independent (IPPS),N,3,76,.08,.03,252% ,$253.83,,,,,,,,,,291%,,,,,
330218,Oswego Hospital,110 West Sixth Street,Oswego,NY,13126,Oswego Health,N,3,71,.08,.03,250% ,$267.04,,,,,,,,,,288%,,,,,
330219,Erie County Medical Center,462 Grider Street,Buffalo,NY,14215,"The Erie County
Medical Center Co",N,2,39,.09,.03,259% ,$251.52,,,,,,,,,,290%,,,,,
330221,"Wyckoff Heights Medical
Center",374 Stockholm Street,Brooklyn,NY,11237,Independent (IPPS),N,1,64,.06,.04,166% ,$179.69,,,,,,,,,,175%,,,,,
330222,Saratoga Hospital,211 Church Street,"Saratoga
Springs",NY,12866,Albany Medical Center,N,4,160,.26,.10,261% ,$237.72,,,,,,,,,,307%,,,,,
330223,Massena Memorial Hospital,1 Hospital Drive,Massena,NY,13662,Independent (IPPS),N,2,12,.01,.00,275% ,$293.81,,,,,,,,,,353%,,,,,
330224,Benedictine Hospital,105 Mary's Avenue,Kingston,NY,12401,"Westchester Medical
Center",N,NA,12,.03,.05,67% ,$61.52,,,,,,,,,,60%,,,,,
330226,"The Unity Hospital Of
Rochester",1555 Long Pond Road,Rochester,NY,14626,"Rochester Regional
Health System",N,2,66,.14,.07,206% ,$173.71,,,,,,,,,,225% ,,,,,
330229,Brooks Memorial Hospital,529 Central Avenue,Dunkirk,NY,14048,Independent (IPPS),N,2,126,.11,.09,124% ,$105.03,,,,,,,,,,121%,,,,,
330232,Seton Health,"1300 Massachusetts
Avenue",Troy,NY,12180,Trinity Health,N,3,38,.04,.02,270% ,$234.60,,,,,,,,,,294%,,,,,
330233,"Brookdale Hospital Medical
Center",1 Brookdale Plaza,Brooklyn,NY,11212,"Brookdale University
Hospital And",N,1,13,.02,.01,170% ,$205.82,,,,,,,,,,195%,,,,,
330234,Westchester Medical Center,100 Woods Rd,Valhalla,NY,10595,"Westchester Medical
Center",N,1,513,1.32,.71,187% ,$210.42,174,9.49,4.62,205% ,"$33,237",10.82,5.33,199% ,204%,194%,203% ,10.14,4.99,.68,.34
330235,Auburn Memorial Hospital,17 Lansing Street,Auburn,NY,13021,Independent (IPPS),N,1,45,.05,.02,264% ,$274.62,,,,,,,,,,315%,,,,,
330236,"New
York-Presbyterian/Brooklyn
Methodist",506 Sixth Street,Brooklyn,NY,11215,"New York
Presbyterian
Healthcare",N,3,158,.34,.14,248% ,$283.41,38,.99,.43,229% ,"$29,000",1.33,.57,135% ,240%,282%,234% ,1.23,.49,.11,.08
330238,"Nicholas H. Noyes Memorial
Hospital","111  Clara Barton
Street",Dansville,NY,14437,"University of
Rochester Medical C",N,2,19,.01,.00,155% ,$158.99,,,,,,,,,,172%,,,,,
330239,Upmc Chautauqua At Wca,207 Foote Avenue,Jamestown,NY,14701,UPMC,N,2,2083,1.94,1.19,162% ,$146.95,81,1.30,.56,230% ,"$16,290",3.23,1.76,135% ,248%,168%,184% ,2.76,1.40,.48,.35
330241,University Hospital At Syracuse,750 East Adams Street,Syracuse,NY,13210,"SUNY Upstate
Medical University",N,2,221,.42,.18,226% ,$231.03,35,.76,.32,238% ,"$22,001",1.18,.50,193% ,243%,231%,233% ,1.06,.44,.12,.06
330245,St. Elizabeth Medical Center,2209 Genesee Street,Utica,NY,13501,"Mohawk Valley Health
System",N,1,54,.10,.04,293% ,$255.74,,,,,,,,,,326%,,,,,
330246,St Charles Hospital,200 Belle Terre Road,Port Jefferson,NY,11777,"Catholic Health
Services of Long",N,3,25,.07,.03,193% ,$211.94,17,.31,.15,198% ,"$17,942",.37,.19,155% ,204%,195%,197% ,.34,.17,.03,.02
330249,"Community Memorial Hospital,
Inc",150 Broad Street,Hamilton,NY,13346,Independent (IPPS),N,NA,34,.02,.01,206% ,$189.95,,,,,,,,,,223% ,,,,,
330250,"Champlain Valley Physicians
Hospital",75 Beekman Street,Plattsburgh,NY,12901,"University of Vermont
Health Network",N,3,57,.20,.06,357% ,$343.21,,,,,,,,,,403%,,,,,
330259,Mercy Medical Center,"1000 North Village
Avenue","Rockville
Centre",NY,11570,"Catholic Health
Services of Long",N,1,26,.08,.03,272% ,$309.89,,,,,,,,,,285%,,,,,
330261,"Phelps Memorial Hospital
Center",701 North Broadway,Sleepy Hollow,NY,10591,Northwell Health,N,4,204,.62,.19,329% ,$372.45,26,.67,.26,253% ,"$28,357",1.29,.45,218% ,267%,348%,285% ,1.10,.37,.19,.09
330264,St. Lukes Cornwall Hospital,70 Dubois Street,Newburgh,NY,12550,"Montefiore Medical
Center",N,2,189,.37,.17,214% ,$233.82,16,.37,.19,195% ,"$18,622",.75,.37,121% ,217%,227%,204% ,.67,.30,.08,.06
330265,"Clifton Springs Hospital And
Clinic",2 Coulter Road,Clifton Springs,NY,14432,"Rochester Regional
Health System",N,2,95,.10,.06,163% ,$142.17,,,,,,,,,,175%,,,,,
330267,"New York-Presbyterian/Hudson
Valley",1980 Crompond Road,"Cortlandt
Manor",NY,10567,"New York
Presbyterian
Healthcare",N,3,108,.25,.10,263% ,$301.68,,,,,,,,,,291% ,,,,,
330268,"Bassett Hospital Of Schoharie
County",178 Grandview Drive,Cobleskill,NY,12043,"Bassett Healthcare
Network",N,NA,17,.02,.01,236% ,$246.80,,,,,,,,,,281%,,,,,
330270,Hospital For Special Surgery,535 East 70th Street,New York,NY,10021,Independent (IPPS),N,5,11049,25.45,10.17,250% ,$298.63,1010,58.87,21.57,273% ,"$27,498",84.32,31.74,286% ,262%,263%,266% ,70.55,26.93,13.77,4.82
330273,Putnam Hospital Center,670 Stoneleigh Avenue,Carmel,NY,10512,Health Quest,N,2,227,.63,.31,206% ,$226.17,38,.78,.30,256% ,"$20,607",1.41,.61,175% ,265%,218%,231% ,1.23,.51,.18,.10
330276,"Nathan Littauer Hospital &
Nursing Home",99 East State Street,Gloversville,NY,12078,"Nathan Littauer
Hospital Associat",N,4,25,.08,.02,410% ,$415.05,,,,,,,,,,493%,,,,,
330277,Corning Hospital,1 Guthrie Drive,Corning,NY,14830,"Guthrie Healthcare
System",N,4,19,.05,.01,352% ,$364.40,,,,,,,,,,456%,,,,,
330279,Mercy Hospital Of Buffalo,565 Abbott Road,Buffalo,NY,14220,Trinity Health,N,1,60,.10,.07,142% ,$134.99,,,,,,,,,,149% ,,,,,
330285,Strong Memorial Hospital,601 Elmwood Ave,Rochester,NY,14642,"University of
Rochester Medical C",N,2,473,1.01,.44,230% ,$216.69,48,1.25,.67,186% ,"$19,430",2.26,1.11,198% ,183%,241%,203% ,1.97,.97,.29,.15
330286,Good Samaritan Hospital,1000 Montauk Highway,West Islip,NY,11795,"Catholic Health
Services of Long",N,1,47,.16,.08,191% ,$215.81,11,.25,.09,273% ,"$28,279",.40,.17,142% ,305%,199%,234% ,.36,.14,.05,.03
330304,White Plains Hospital,41 East Post R0ad,White Plains,NY,10601,"Montefiore Medical
Center",N,3,828,2.16,.67,320% ,$395.53,112,3.17,.93,342% ,"$30,965",5.33,1.60,140% ,378%,391% ,333% ,4.87,1.27,.46,.33
330307,"Cayuga Medical Center At
Ithaca",101 Dates Drive,Ithaca,NY,14850,"Cayuga Medical
Center",N,2,316,.56,.18,304% ,$321.78,,,,,,,,,,350%,,,,,
330331,Plainview Hospital,888 Old Country Road,Plainview,NY,11803,Northwell Health,N,3,20,.09,.03,269% ,$316.75,,,,,,,,,,285% ,,,,,
330332,St. Joseph Hospital,"4295 Hempstead
Turnpike",Bethpage,NY,11714,"Catholic Health
Services of Long",N,1,14,.05,.01,348% ,$393.37,,,,,,,,,,358%,,,,,
330340,Southampton Hospital,"240 Meeting House
Lane",Southampton,NY,11968,Stony Brook Medicine,N,NA,108,.21,.07,311% ,$376.28,,,,,,,,,,338%,,,,,
330350,University Hospital Of Brooklyn,445 Lenox Road,Brooklyn,NY,11203,"SUNY Downstate
Medical Center",N,1,21,.03,.02,164% ,$190.68,,,,,,,,,,182%,,,,,
330386,"Catskill Regional Medical
Center","68 Harris Bushville
Road",Harris,NY,12742,"Greater Hudson
Valley Health Syst",N,2,69,.10,.03,300% ,$405.82,,,,,,,,,,358%,,,,,
330393,Stony Brook University Hospital,"Health Sciences Center
Suny",Stony Brook,NY,11794,Stony Brook Medicine,N,3,131,.36,.10,348% ,$446.28,23,2.62,1.52,172% ,"$18,034",2.98,1.63,177% ,172%,410%,183% ,2.88,1.57,.10,.06
330394,Uhs Hospitals,10-42 Mitchell Avenue,Binghamton,NY,13903,"United Health
Services",N,1,104,.22,.07,336% ,$320.89,16,.28,.14,193% ,"$15,081",.50,.21,129% ,204%,415%,238% ,.45,.17,.05,.04
330395,Episcopal Health Services,327 Beach 19th Street,Far Rockaway,NY,11691,"Episcopal Health
Services",N,1,11,.02,.01,225% ,$265.40,,,,,,,,,,230%,,,,,
330399,St. Barnabas Hospital,4422 Third Avenue,Bronx,NY,10457,SBH Health System,N,1,22,.01,.01,105% ,$107.41,,,,,,,,,,101%,,,,,
330401,"St. Catherine Of Siena Medical
Center",50 Route 25a,Smithtown,NY,11787,"Catholic Health
Services of Long",N,2,41,.13,.05,252% ,$279.54,,,,,,,,,,268%,,,,,
331302,"Elizabethtown Community
Hospital",75 Park Street,Elizabethtown,NY,12932,"University of Vermont
Health Network",Y,2,18,.02,.01,146% ,$222.95,,,,,,,,,,142%,,,,,
331303,"Catskill Regional Medical
Center Group",8081 Route 97,Callicoon,NY,12723,"Greater Hudson
Valley Health Syst",Y,NA,14,.02,.01,166% ,$393.94,,,,,,,,,,171%,,,,,
331304,Margaretville Hospital,"42084 State Highway
28",Margaretville,NY,12455,"Westchester Medical
Center",Y,NA,11,.02,.03,81% ,$365.67,,,,,,,,,,80%,,,,,
331313,Schuyler Hospital,220 Steuben Street,Montour Falls,NY,14865,"Cayuga Medical
Center",Y,NA,12,.01,.01,131% ,$287.92,,,,,,,,,,122%,,,,,
331314,"Soldiers & Sailors Memorial
Hospital",418 North Main Street,Penn Yan,NY,14527,Finger Lakes Health,Y,3,22,.02,.01,125% ,$156.36,,,,,,,,,,126% ,,,,,
331317,Lewis County General Hospital,7785 North State Street,Lowville,NY,13367,Independent (CAH),Y,3,15,.02,.01,185% ,$312.82,,,,,,,,,,189%,,,,,
340001,"Carolinas Healthcare System
Northeast",920 Church St N,Concord,NC,28025,Atrium Health,N,2,209,.75,.19,399% ,$369.25,,,,,,,,,,472%,,,,,
340002,Mission Hospital  Inc,509 Biltmore Ave,Asheville,NC,28801,"Mission Health
System",N,5,349,1.70,.48,351% ,$309.37,55,1.80,.46,393% ,"$34,455",3.50,.94,134% ,469%,397%,372% ,3.24,.75,.25,.19
340003,Northern Hosp Of Surry Co,830 Rockford St,Mount Airy,NC,27030,QHR,N,4,38,.07,.02,303% ,$288.63,,,,,,,,,,375%,,,,,
340004,High Point Regional Health,601 N Elm St,High Point,NC,27261,"Wake Forest
University Baptist Me",N,2,83,.27,.08,352% ,$329.18,,,,,,,,,,419%,,,,,
340008,Scotland Memorial Hospital,500 Lauchwood Dr,Laurinburg,NC,28352,Atrium Health,N,3,25,.03,.01,235% ,$197.56,,,,,,,,,,251%,,,,,
340010,Wayne Memorial Hospital,"2700 Wayne Memorial
Dr",Goldsboro,NC,27534,"UNC Health Care
System",N,2,29,.05,.01,356% ,$337.91,,,,,,,,,,413%,,,,,
340014,Forsyth Memorial Hospital  Inc,"3333 Silas Creek
Parkway",Winston-Salem,NC,27103,Novant Health,N,3,168,.47,.12,377% ,$332.41,25,.48,.18,269% ,"$19,892",.94,.30,179% ,286%,428%,314% ,.85,.25,.09,.05
340015,Rowan Regional Hospital,612 Mocksville Ave,Salisbury,NC,28144,Novant Health,N,1,45,.16,.05,334% ,$328.11,,,,,,,,,,399% ,,,,,
340016,Harris Regional Hospital,68 Hospital Rd,Sylva,NC,28779,Lifepoint Health,N,1,32,.08,.02,409% ,$365.97,,,,,,,,,,453%,,,,,
340017,"Margaret R. Pardee Memorial
Hospital",800 N Justice St,Hendersonville,NC,28791,"UNC Health Care
System",N,3,76,.18,.06,311% ,$282.53,,,,,,,,,,361%,,,,,
340020,Central Carolina Hospital,1135 Carthage St,Sanford,NC,27330,Lifepoint Health,N,2,27,.07,.03,270% ,$261.54,,,,,,,,,,316%,,,,,
340023,Park Ridge Health,100 Hospital Drive,Hendersonville,NC,28792,"Adventist Health
System",N,4,99,.21,.07,322% ,$301.73,,,,,,,,,,382%,,,,,
340024,"Sampson Regional Medical
Center",607 Beaman St,Clinton,NC,28328,"Coastal Carolinas
Health Alliance",N,2,15,.02,.01,204% ,$187.19,,,,,,,,,,218%,,,,,
340027,Lenoir Memorial Hospital,100 Airport Rd,Kinston,NC,28501,"UNC Health Care
System",N,1,16,.03,.01,366% ,$365.54,,,,,,,,,,425%,,,,,
340028,"Cape Fear Valley Medical
Center","1638 Owen Drive P O
Box 2000",Fayetteville,NC,28302,"Cape Fear Valley
Health System",N,3,80,.24,.06,439% ,$393.17,16,.36,.15,241% ,"$19,783",.61,.21,159% ,257%,510%,294% ,.56,.17,.05,.03
340030,Duke University Hospital,"Po Box 3814 Dumc
Erwin Rd",Durham,NC,27710,"Duke University
Health System",N,4,1739,5.67,1.75,324% ,$294.70,143,6.06,2.81,216% ,"$28,364",11.73,4.56,228% ,218% ,345%,257% ,10.11,3.84,1.62,.71
340032,Gaston Memorial Hospital,2525 Court Dr,Gastonia,NC,28052,"Caromont Health
System",N,2,134,.40,.15,264% ,$236.13,,,,,,,,,,278%,,,,,
340039,Iredell Memorial Hospital,"557 Brookdale Dr  P O
Box 1828",Statesville,NC,28677,Iredell Health System,N,3,47,.19,.06,305% ,$278.57,,,,,,,,,,336%,,,,,
